manga_id,title,description,year,rating,has_cover,cover_url,url,scraped_at
solo-leveling,Поднятие Уровня В Одиночку,"Десять лет назад открылись врата в параллельный мир, где людям разрешено охотиться на монстров. В результате появились охотники, предназначенные для преследования и уничтожения этих тварей. Однако не каждому суждено повысить свой уровень и стать сильнее. Сон Джин-у был охотником низшего ранга E, у которого не было ни единого шанса продвинуться по ранговой лестнице, пока он случайно не оказался в подземелье ранга D.",2018,9.71,True,https://remanga.org/media/titles/solo-leveling/cover_0abd95f5.webp,https://remanga.org/manga/solo-leveling/main,2025-12-04 21:16:42
omniscient-reader,Всеведущий Читатель,"Я знаю, что произойдет сейчас"". Когда он об этом подумал, всё изменилось. С того момента началась игра со смертью в мире, где каждый должен сделать всё, чтобы выжить. Это мир, конец которого известен только ему.",2020,9.28,True,https://remanga.org/media/titles/omniscient-reader/wallpaper_9739d4bd.webp,https://remanga.org/manga/omniscient-reader/main,2025-12-04 21:16:48
the-greatest-estate-designer,Система Всемогущего Дизайнера,"Инженер-строитель Ким Су Хо стал аристократом на страницах романа. Но вот беда! Его поместье на грани банкротства. В такой ситуации нужно спасать свои земли. Проектировать, строить и продавать — вот его путь. [Это уникальная возможность, на которую весь континент так долго ждал! Вас ожидают идеальные транспортные развязки, лучший школьный район, живописный лесной массив, а также барон Фронтера, владелец эксклюзивной недвижимости премиум-класса.",2021,9.55,True,https://remanga.org/media/titles/the-greatest-estate-designer/410eea7b75616a31ba7029f3beabf62b.jpg,https://remanga.org/manga/the-greatest-estate-designer/main,2025-12-04 21:16:54
sss-level-hunter,Охотник Sss-Уровня,"Ким Кон Чжа спокойно проживает свою жизнь в скромной халупе, завидуя всем популярным охотникам. Однажды его желание превзойти всех исполняется, когда он получает легендарный навык ""Копирование способностей""... за цену своей жизни.",2019,9.35,True,https://remanga.org/media/titles/sss-level-hunter/cover_34937d9b.webp,https://remanga.org/manga/sss-level-hunter/main,2025-12-04 21:16:58
sweet_home_hwang_youngchan,Милый Дом,"Много ли нужно для счастья хикикомори? Просто сиди в своих четырех стенах, отгоняй всех и погружайся в свой компьютер. Но что, если внезапно родители с сестрой умирают? Ну и пусть, они оставили ""копейки"". Пришлось переехать в дешевую общагу, питаться фастфудом, и даже назначить день Х, чтобы покинуть этот мир. Однако наш герой не подозревал, что умереть человеческими методами ему не суждено. Ведь, как говорится, ""ночь темна и полна ужасов"", а днем — тем более.",2017,9.24,True,https://remanga.org/media/titles/sweet_home_hwang_youngchan/8526d40b663441e5189f6263cefca146.jpg,https://remanga.org/manga/sweet_home_hwang_youngchan/main,2025-12-04 21:17:04
martial_peak,Пик Боевых Искусств,"На основе одноименного романа, путь на вершину боевых искусств — это одинокий и долгий путь. Перед лицом трудностей ты должен оставаться сильным и непоколебимым. Только тогда сможешь преодолеть все препятствия и стать по-настоящему могущественным. Небесная Башня обучает своих учеников самым суровым образом, чтобы они смогли выстоять в мире боевых искусств. Однако из-за мелкого проступка главный герой, Ян Кай, может быть исключен из Небесной Башни.",2018,8.23,True,https://remanga.org/media/titles/martial_peak/56169d91c6668d8ab647b3c781e453fc.jpg,https://remanga.org/manga/martial_peak/main,2025-12-04 21:17:08
i-am-a-fulltime-newbie-exclusive,Нуб Максимального Уровня,"Главный герой Джин Хек – игрок и стример, единственный, кто дошёл до самого конца ""Башни испытаний"". Когда он увидел финальную часть игры, ему захотелось бросить её. Но в тот самый день ""Башня испытаний"" стала реальностью. И главному герою не осталось другого выбора, кроме как показать, на что способен тот, кто знает все тонкости игры.",2021,9.4,True,https://remanga.org/media/titles/i-am-a-fulltime-newbie-exclusive/cover_8b00e9f3.webp,https://remanga.org/manga/i-am-a-fulltime-newbie-exclusive/main,2025-12-04 21:17:14
the-pick-me-up,Выбери Меня!,"От студии, создавшей ""Поднятие Уровня в одиночку"", ""Возвращение героя уровня катастрофы"" и ""Всеведущий читатель""!",2022,9.56,True,https://remanga.org/media/titles/the-pick-me-up/cover_7dacde32.webp,https://remanga.org/manga/the-pick-me-up/main,2025-12-04 21:17:20
the-strongest-mercenary,Прирождённый Наёмник,"Юй Идзинь когда-то оказался единственным выжившим в результате авиакатастрофы. Для того чтобы выжить, он становится наёмником. Спустя 10 лет он возвращается к своей семье в родной город. Сможет ли он забыть своё прошлое и начать жизнь обычного школьника?",2020,8.97,True,https://remanga.org/media/titles/the-strongest-mercenary/203c75395dd09fc4c8b103bd5be067c9.jpg,https://remanga.org/manga/the-strongest-mercenary/main,2025-12-04 21:17:26
ranker-who-lives-a-second-time,"Ранкер, Который Живёт Второй Раз","У Ён У был брат-близнец, исчезнувший пять лет назад. Внезапно появившаяся посылка принесла ему часы брата. В них Ён У обнаружил дневник брата, начинающийся с фразы: ""Если ты это читаешь, то я, вероятно, уже мёртв..."". Обелиск, Башня Бога Солнца — мир, в котором переплетаются несколько вселенных и измерений. Здесь его брат стал жертвой предательства во время восхождения на башню. Узнав правду, Ён У решает вместе с дневником своего брата взобраться на башню.",2019,9.16,True,https://remanga.org/media/titles/ranker-who-lives-a-second-time/23938b9e8f54f41a993e4f3356abcf3f.jpg,https://remanga.org/manga/ranker-who-lives-a-second-time/main,2025-12-04 21:17:31
